field_id,field_name,method,n_used,year_min,year_max,status,coordinate_path,figure_path,error_message,random_state
11,Agricultural and Biological Sciences,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__11__Agricultural_and_Biological_Sciences/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__11__Agricultural_and_Biological_Sciences/PCA.png,,42
11,Agricultural and Biological Sciences,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__11__Agricultural_and_Biological_Sciences/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__11__Agricultural_and_Biological_Sciences/PHATE.png,,42
11,Agricultural and Biological Sciences,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__11__Agricultural_and_Biological_Sciences/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__11__Agricultural_and_Biological_Sciences/UMAP.png,,42
11,Agricultural and Biological Sciences,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__11__Agricultural_and_Biological_Sciences/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__11__Agricultural_and_Biological_Sciences/t-SNE.png,,42
12,Arts and Humanities,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__12__Arts_and_Humanities/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__12__Arts_and_Humanities/PCA.png,,42
12,Arts and Humanities,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__12__Arts_and_Humanities/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__12__Arts_and_Humanities/PHATE.png,,42
12,Arts and Humanities,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__12__Arts_and_Humanities/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__12__Arts_and_Humanities/UMAP.png,,42
12,Arts and Humanities,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__12__Arts_and_Humanities/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__12__Arts_and_Humanities/t-SNE.png,,42
13,"Biochemistry, Genetics and Molecular Biology",PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__13__Biochemistry_Genetics_and_Molecular_Biology/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__13__Biochemistry_Genetics_and_Molecular_Biology/PCA.png,,42
13,"Biochemistry, Genetics and Molecular Biology",PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__13__Biochemistry_Genetics_and_Molecular_Biology/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__13__Biochemistry_Genetics_and_Molecular_Biology/PHATE.png,,42
13,"Biochemistry, Genetics and Molecular Biology",UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__13__Biochemistry_Genetics_and_Molecular_Biology/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__13__Biochemistry_Genetics_and_Molecular_Biology/UMAP.png,,42
13,"Biochemistry, Genetics and Molecular Biology",t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__13__Biochemistry_Genetics_and_Molecular_Biology/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__13__Biochemistry_Genetics_and_Molecular_Biology/t-SNE.png,,42
14,"Business, Management and Accounting",PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__14__Business_Management_and_Accounting/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__14__Business_Management_and_Accounting/PCA.png,,42
14,"Business, Management and Accounting",PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__14__Business_Management_and_Accounting/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__14__Business_Management_and_Accounting/PHATE.png,,42
14,"Business, Management and Accounting",UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__14__Business_Management_and_Accounting/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__14__Business_Management_and_Accounting/UMAP.png,,42
14,"Business, Management and Accounting",t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__14__Business_Management_and_Accounting/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__14__Business_Management_and_Accounting/t-SNE.png,,42
15,Chemical Engineering,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__15__Chemical_Engineering/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__15__Chemical_Engineering/PCA.png,,42
15,Chemical Engineering,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__15__Chemical_Engineering/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__15__Chemical_Engineering/PHATE.png,,42
15,Chemical Engineering,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__15__Chemical_Engineering/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__15__Chemical_Engineering/UMAP.png,,42
15,Chemical Engineering,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__15__Chemical_Engineering/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__15__Chemical_Engineering/t-SNE.png,,42
16,Chemistry,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__16__Chemistry/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__16__Chemistry/PCA.png,,42
16,Chemistry,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__16__Chemistry/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__16__Chemistry/PHATE.png,,42
16,Chemistry,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__16__Chemistry/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__16__Chemistry/UMAP.png,,42
16,Chemistry,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__16__Chemistry/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__16__Chemistry/t-SNE.png,,42
17,Computer Science,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__17__Computer_Science/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__17__Computer_Science/PCA.png,,42
17,Computer Science,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__17__Computer_Science/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__17__Computer_Science/PHATE.png,,42
17,Computer Science,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__17__Computer_Science/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__17__Computer_Science/UMAP.png,,42
17,Computer Science,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__17__Computer_Science/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__17__Computer_Science/t-SNE.png,,42
18,Decision Sciences,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__18__Decision_Sciences/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__18__Decision_Sciences/PCA.png,,42
18,Decision Sciences,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__18__Decision_Sciences/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__18__Decision_Sciences/PHATE.png,,42
18,Decision Sciences,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__18__Decision_Sciences/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__18__Decision_Sciences/UMAP.png,,42
18,Decision Sciences,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__18__Decision_Sciences/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__18__Decision_Sciences/t-SNE.png,,42
19,Earth and Planetary Sciences,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__19__Earth_and_Planetary_Sciences/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__19__Earth_and_Planetary_Sciences/PCA.png,,42
19,Earth and Planetary Sciences,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__19__Earth_and_Planetary_Sciences/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__19__Earth_and_Planetary_Sciences/PHATE.png,,42
19,Earth and Planetary Sciences,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__19__Earth_and_Planetary_Sciences/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__19__Earth_and_Planetary_Sciences/UMAP.png,,42
19,Earth and Planetary Sciences,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__19__Earth_and_Planetary_Sciences/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__19__Earth_and_Planetary_Sciences/t-SNE.png,,42
20,"Economics, Econometrics and Finance",PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__20__Economics_Econometrics_and_Finance/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__20__Economics_Econometrics_and_Finance/PCA.png,,42
20,"Economics, Econometrics and Finance",PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__20__Economics_Econometrics_and_Finance/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__20__Economics_Econometrics_and_Finance/PHATE.png,,42
20,"Economics, Econometrics and Finance",UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__20__Economics_Econometrics_and_Finance/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__20__Economics_Econometrics_and_Finance/UMAP.png,,42
20,"Economics, Econometrics and Finance",t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__20__Economics_Econometrics_and_Finance/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__20__Economics_Econometrics_and_Finance/t-SNE.png,,42
21,Energy,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__21__Energy/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__21__Energy/PCA.png,,42
21,Energy,PHATE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__21__Energy/PHATE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__21__Energy/PHATE.png,,42
21,Energy,UMAP,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__21__Energy/UMAP.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__21__Energy/UMAP.png,,42
21,Energy,t-SNE,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__21__Energy/t-SNE.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__21__Energy/t-SNE.png,,42
22,Engineering,PCA,10000,2000,2024,completed,outputs/08_visualization/per_field_method_comparison/coordinates/field_method_comparison/field__22__Engineering/PCA.parquet,outputs/08_visualization/per_field_method_comparison/figures/field_method_comparison/field__22__Engineering/PCA.png,,42
